n,error_name,State,Tgid,Pid,PPid,TracerPid,Uid,Gid,FDSize,Groups,VmPeak,VmSize,VmLck,VmPin,VmHWM,VmRSS,VmData,VmStk,VmExe,VmLib,VmPTE,VmSwap,Threads,SigQ,SigPnd,ShdPnd,SigBlk,SigIgn,SigCgt,CapInh,CapPrm,CapEff,CapBnd,Seccomp,Cpus_allowed,Cpus_allowed_list,voluntary_ctxt_switches,nonvoluntary_ctxt_switches,crash
0,NullPointerException,R,6220,6220,218,0,10200 10200 10200 10200,10200 10200 10200 10200,2048,1015 1028 3001 3002 3003 9997 50200,2701464,2701456,64,0,740056,495012,1338128,8192,12,79964,3068,3244,1087,1/13636,0,0,1204,0,00000002000094f8,0,0,0,0,0,f,0-3,8392,18680,10
1,ArrayIndexOutOfBoundsException,S,5991,5991,209,0,10200 10200 10200 10200,10200 10200 10200 10200,2048,1015 1028 3001 3002 3003 9997 50200,2438712,2438712,64,0,273884,254076,1057936,8192,12,97564,2512,852,847,1/13636,0,0,1204,0,00000002000094f8,0,0,0,0,0,f,0-3,33673,14770,1
2,OutOfMemoryError,S,2469,2469,222,0,10200 10200 10200 10200,10200 10200 10200 10200,2048,1015 1028 3001 3002 3003 9997 50200,3125476,3125468,60,0,299812,157812,1737896,8192,12,97564,3872,148,1488,1/13636,0,0,1204,0,00000002000094f8,0,0,0,0,0,f,0-3,55627,38149,11
3,OutOfMemoryError,S,9548,9548,222,0,10200 10200 10200 10200,10200 10200 10200 10200,2048,1015 1028 3001 3002 3003 9997 50200,3127168,3126404,64,0,273572,175740,1739992,8192,12,97564,3860,936,1490,0/13636,0,0,1204,0,00000002000094f8,0,0,0,0,0,f,0-3,61067,31378,11
4,NullPointerException,S,13124,13124,222,0,10200 10200 10200 10200,10200 10200 10200 10200,2048,1015 1028 3001 3002 3003 9997 50200,1620312,1619832,64,0,259744,259552,248976,8192,12,97564,900,940,79,1/13636,0,0,1204,0,00000002000094f8,0,0,0,0,0,f,0-3,692,649,10
5,OutOfMemoryError,S,13896,13896,222,0,10200 10200 10200 10200,10200 10200 10200 10200,2048,1015 1028 3001 3002 3003 9997 50200,3125892,3125056,64,0,296060,214944,1736944,8192,12,97564,3900,944,1491,1/13636,0,0,1204,0,00000002000094f8,0,0,0,0,0,f,0-3,58969,23273,11
6,ClassNotFoundException,R,25951,25951,208,0,10158 10158 10158 10158,10158 10158 10158 10158,2048,1015 1028 3001 3002 3003 9997 50158,1436528,1436528,0,0,97428,97428,155716,8192,12,72632,516,7704,29,1/13636,0,0,1204,0,00000002000094f8,0,0,0,0,0,f,0-3,168,212,4
7,NullPointerException,R,10621,10621,219,0,10158 10158 10158 10158,10158 10158 10158 10158,2048,1015 1028 3001 3002 3003 9997 50158,1615132,1612648,64,0,258028,256220,287872,8192,12,75336,924,884,113,2/13636,0,0,1204,0,00000002000094f8,0,0,0,0,0,f,0-3,3093,4647,10
8,IllegalMonitorStateExceptio,R,15323,15323,219,0,10158 10158 10158 10158,10158 10158 10158 10158,2048,1015 1028 3001 3002 3003 9997 50158,1620440,1607956,64,0,265852,245308,282632,8192,12,75336,960,3152,108,0/13636,0,0,1204,0,00000002000094f8,0,0,0,0,0,f,0-3,16230,7593,5
9,IllegalMonitorStateExceptio,R,22791,22791,219,0,10158 10158 10158 10158,10158 10158 10158 10158,2048,1015 1028 3001 3002 3003 9997 50158,1596056,1596056,60,0,263280,242556,272152,8192,12,75336,940,7480,98,1/13636,0,0,1204,0,00000002000094f8,0,0,0,0,0,f,0-3,4475,1922,5
10,IllegalMonitorStateExceptio,R,25229,25229,219,0,10158 10158 10158 10158,10158 10158 10158 10158,2048,1015 1028 3001 3002 3003 9997 50158,1607220,1606748,60,0,249340,244280,284728,8192,12,75336,908,7520,110,1/13636,0,0,1204,0,00000002000094f8,0,0,0,0,0,f,0-3,4023,4273,5
11,NullPointerException,R,32047,32047,219,0,10158 10158 10158 10158,10158 10158 10158 10158,2048,1015 1028 3001 3002 3003 9997 50158,1607772,1605772,64,0,248656,248656,278536,8192,12,75336,900,7512,108,1/13636,0,0,1204,0,00000002000094f8,0,0,0,0,0,f,0-3,2369,4520,10
